
                            < M A T L A B (R) >
                  Copyright 1984-2013 The MathWorks, Inc.
                    R2013a (8.1.0.604) 64-bit (glnxa64)
                             February 15, 2013

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
>> 
ans =

   275     2


yPredicted =

     0     1
     1     0
     1     0
     0     1
     0     1
     1     0
     1     0
     0     1
     0     1
     1     0
     1     0
     0     1
     1     0
     1     0
     0     1
     1     0
     1     0
     1     0
     0     1
     1     0
     0     1
     1     0
     1     0
     1     0
     1     0
     1     0
     0     1
     1     0
     1     0
     0     1
     0     1
     1     0
     0     1
     0     1
     0     1
     0     1
     1     0
     0     1
     1     0
     0     1
     1     0
     1     0
     1     0
     0     1
     0     1
     1     0
     1     0
     1     0
     0     1
     1     0
     0     1
     1     0
     0     1
     1     0
     1     0
     0     1
     0     1
     1     0
     1     0
     1     0
     0     1
     1     0
     1     0
     1     0
     1     0
     1     0
     1     0
     1     0
     0     1
     1     0
     0     1
     1     0
     1     0
     1     0
     1     0
     1     0
     1     0
     1     0
     0     1
     1     0
     1     0
     1     0
     0     1
     1     0
     1     0
     0     1
     1     0
     0     1
     1     0
     1     0
     1     0
     1     0
     0     1
     0     1
     1     0
     0     1
     1     0
     0     1
     1     0
     0     1
     1     0
     1     0
     0     1
     1     0
     0     1
     1     0
     0     1
     0     1
     0     1
     0     1
     1     0
     1     0
     1     0
     1     0
     1     0
     1     0
     1     0
     1     0
     0     1
     1     0
     0     1
     0     1
     0     1
     0     1
     0     1
     1     0
     1     0
     0     1
     1     0
     1     0
     0     1
     0     1
     1     0
     1     0
     0     1
     1     0
     1     0
     1     0
     1     0
     1     0
     1     0
     0     1
     1     0
     0     1
     1     0
     1     0
     0     1
     1     0
     1     0
     1     0
     1     0
     0     1
     1     0
     0     1
     0     1
     1     0
     1     0
     0     1
     1     0
     1     0
     1     0
     0     1
     1     0
     0     1
     1     0
     0     1
     1     0
     1     0
     0     1
     1     0
     0     1
     1     0
     0     1
     1     0
     0     1
     1     0
     1     0
     1     0
     1     0
     0     1
     1     0
     1     0
     1     0
     0     1
     1     0
     1     0
     1     0
     1     0
     1     0
     1     0
     1     0
     1     0
     0     1
     0     1
     0     1
     1     0
     0     1
     1     0
     1     0
     0     1
     1     0
     1     0
     1     0
     1     0
     1     0
     1     0
     1     0
     0     1
     1     0
     1     0
     1     0
     1     0
     1     0
     1     0
     1     0
     0     1
     1     0
     1     0
     1     0
     1     0
     1     0
     0     1
     1     0
     1     0
     0     1
     1     0
     1     0
     1     0
     1     0
     1     0
     1     0
     1     0
     0     1
     0     1
     1     0
     1     0
     1     0
     0     1
     1     0
     1     0
     0     1
     0     1
     0     1
     1     0
     1     0
     1     0
     0     1
     1     0
     0     1
     0     1
     1     0
     0     1
     1     0
     1     0
     1     0
     0     1
     1     0
     1     0
     1     0
     0     1
     1     0
     1     0
     1     0
     0     1
     0     1
     1     0
     1     0
     1     0
     1     0
     1     0
     1     0
     0     1
     1     0
     1     0
     0     1


W =

    0.5971    0.8468
    0.9669   -0.2777
   -1.6402    1.8670

Predicted 177 correctly of 275 -- 0.643636 %
>> 
